메뉴 이름,메뉴 설명,재료,조리 과정
표고버섯계란국 ,"누가나 손쉽게 끓일 수 있는 계란국<br>
표고버섯도 함께 넣어 더 감칠맛 나는 표고버섯 계란국","물 3-4컵, 달걀 3알, 표고버섯 2-3개, 소금 약간, 액젓 1t, 다진파 약간<br> 
[밑국물] 다시마 5cm x 5cm 1장, 멸치 8-10마리","1. 표고버섯은 얇게 썰어주세요.<br>2. 달걀은 소금 한, 두꼬집 넣어 잘 풀어주세요. <br>3. 냄비에 물 3-4컵, 다시마, 멸치 넣어 센불에서 끓이다 끓어오르면 중약불로 줄여 약 10분간 더 끓여서 밑국물을 만들어 주세요.<br>4. 약 10분 후 다시마는 건져 내고 표고버섯을 넣고 액젓 1t를 넣어 중불에서 약 5-7분간 더 끓여주세요.<br>5. 그 다음 멸치도 빼고 달걀물은 원을 그리며 부어주세요.<br>6. 약 30초-1분 후에 두세번 저어주고 부족한 간은 소금을 맞춰주시면 완성입니다. 마지막으로 잘게 썬 파를 올려주세요."
표고버섯 숙회,버섯의 쫄깃함에 새콤매콤한 초장의 맛이 어우러져서 간단하지만 넘 맛있는 별미반찬 표고버섯숙회,"표고버섯  <br>[초고추장 양념] 고추장 3T, 식초 3T, 설탕 1T, 올리고당 2T, 사이다 2T","1. 표고버섯을 지저분한 밑둥 끝부부만 잘라내고, 흐르는 물에 가볍게 씻어서 끓는 물에 넣어 데쳐줍니다. <br>2. 버섯을 넣고 부르륵 끓어오르고 약 10초 후에 건져줍니다. <br>3. 찬물에 씻어 건져주시고요. <br>4. 물기가 빠지면 어슷하면서 좀 도톰하게 썰어줍니다. <br>5. 분량의 양념을 넣고 골고루 섞어주면 초고추장 양념 완성"
표고버섯탕수,"표고버섯은 면역력&항산화에 좋다고 이미 널리 알려져 있고, 기침감기에도 좋다고 해서","표고 버섯 15개 정도, 튀김가루 4큰술, 녹말가루 1수저, 물 1+1/2컵<br> [소스] 케첩 3수저, 굴 소스 1수저, 설탕 1/2수저, 식초 1수저, 물 1/2컵<br> 전분물, 야채다짐 ","1. 표고버섯은 물에 한번 가볍게 씻어 물기를 말려주었어요. <br>2. 튀김가루 4 큰 술, 녹말가루 1수저와 물 1컵 반 넣어 튀김 반죽 만들어주rh 비닐팩에 표고버섯을 넣고 전분가루 1수저를 넣어 흔들어주세요.<br>3. 튀김옷이 벗겨지지 않게 전분 옷을 먼저, 전분가루 묻힌 버섯은 튀김 반죽에 퐁당 달군 기름에 튀겨줍니다.<br>4. 바삭바삭 맛있는 표고버섯튀김 완성. <br>5. 소스 재료를 넣어 골고루 섞어주고 불을 켜주세요. 달달한 소스를 좋아하시면 설탕량을 늘려주세요. <br>6. 영양을 추가해주기 위해 야채 다짐도 넣어줬어요. 야채가 익을 때까지만 끓여주면 돼요. <br>7. 작은 수저로 전분가루 1수저와 물 2수저를 섞어 전분 물 만들어 준비 <br>8. 야채가 다 익어 끓을 때 불을 약불로 줄이고 전분물을 빙 돌려가며 뿌려주세요. <br>9.  뭉치지 않게 수저로 섞어주면서 농도 조절하면 걸쭉한 탕수육 소스도 완성."
표고버섯튀김,,표고버섯 2줌 튀김가루 1컵 물 1컵 식용유 적당량,1. 표고버섯은 깨끗이 씻은 후 밑동을 제거하고 크기가 큰 것은 반으로 썰어주세요. <br>2. 튀김가루와 물을 1:1 비율로 섞어 흐르는 정도의 농도로 맞춰주세요. <br>3. 튀김반죽에 표고버섯을 넣고 옷을 입혀주세요. <br>4. 팬에 기름을 넉넉히 두르고 표고버섯을 튀기듯 구워주세요. 노릇노릇하게 잘 구워주세요. <br>5. 적당히 잘 구워졌다면 그릇에 담으면 최종 완성이 되요.
표고버섯볶음 , 적당히 불려준 표고버섯을 꼭 짜서 양파넣고 휘리릭 볶아냈더니 향도 좋고 맛도 좋은 표고버섯볶음,표고버섯  양파 1개 다진 마늘 1/2큰술 굵은소금 후추가루 조금 볶음참깨  포도씨유  참기름 조금,"1. 건표고버섯은 미지근한 물에 불려주세요. 혹시, 기둥이 있는 경우에는 끓는 물에 데쳐준 다음에 담궈주시고 딱딱한 정도가 부드러워진 것을 확인하고 물기를 꼭 짜서 준비해주세요. <br>2. 양파를 껍질을 벗겨 반으로 나누고 슬라이스해주세요.  표고버섯과 양파를 한 데 담아주세요. <br>3. 굵은 소금과 다진 마늘, 후추가루 그리고 참기름을 넣고 우선 조물조물해주시고 10 분 정도 재워주세요. (그렇게 해주면 소금도 잘 녹아 간이 잘 배인답니다.) <br>4. 포도씨유를 조금 두르고 재워놓은 표고버섯과 양파를 넣고 볶아주세요. 타지 않게 잘 뒤적여가며 10 분 정도 볶아주신 다음에 불에서 내리면서 볶음 참깨를 솔솔 뿌려주세요. "
표고버섯무침,재료도 정말로 간단하고 만드는법은 더더욱 간단한 너무 맛있고 향긋한 밑반찬이랍니다. 표고버섯을 살짝 데쳐서 만드니 부들부들하고 쫄깃한 식감이 살아나서 더욱 맛이 좋더라구요.,"표고버섯 15개, 대파 파란부분 10g, 다진마늘 1/2티스푼 , [양념] 소금 1/4티스푼, 통깨 ",1. 표고버섯의 기둥은 제거해주세요. 기둥은 모아두었다가 육수를 낼때 사용하면 좋답니다.<br>2. 표고버섯은 0.3cm정도 두께로 썰어주세요. 대파는 잘게 다져주세요. <br>3. 끓는물에 표고버섯을 넣고 20초정도 데쳐주세요. 데친 표고버섯은 체반에 받쳐 물기를 제거해주세요. <br>4. 대파와 다진마늘 소금을 넣어주세요.  조물조물 무쳐주세요. <br>5. 통깨를 뿌려주면 영양만점 맛있는 표고버섯무침 완성입니다. 참기름을 취향껏 뿌려주셔도 좋답니다
표고버섯 초무침,쫄깃쫄깃 새콤매콤한 반찬 표고버섯초무침,"표고버섯 220g, 양파 약간, 쪽파 3뿌리, 통깨 약간 <br>[양념] 고추장 1+1/2큰술, 매실액 1큰술, 식초 1/2큰술, 올리고당 1/2큰술, 다진마늘 1/2큰술, 소금 약간<br>참기름 1/2큰술","1. 표고버섯은 끓는물에 데친 후 찬물에 헹구어줍니다.  표고버섯은 기둥을 제거해줍니다. <br>2. 표고버섯은 도톰하게 채 썰어줍니다. <br>3. 양파와 쪽파는 껍질을 제거하고 흐르는 물에 헹군 후 양파는 채 썰고 쪽파는 2Cm정도 크기로 썰어줍니다. <br>4. 썰어 놓은 표고버섯과 양파, 쪽파를 그릇에 담아줍니다. <br>5. 분량의 양념장 재료를 넣고 골고루 섞어줍니다. <br>6. 간이 골고루 배도록 조물조물 무친 후 참기름을 뿌려 다시 한번 무쳐줍니다. <br>7. 표고버섯초무침을 접시에 담고 통깨를 뿌려냅니다."
버섯크림리조또,,쌀 1컵 귀리 1큰술 표고버섯 1개 양송이 2개 새송이콩5개 마늘 2톨 파마산치즈가루 1큰술 그라나파나노치즈 파슬리  치킨스톡 1큰술 물 800ml 양파 1/2개 생크림 1/2컵,"1. 쌀과 귀리는 20분정도 불린후 물기 제거한다. <br>2. 양송이 표고 반정도는 슬라이스 하고 반은 0.7센티로 다진다. 새송이 콩도 굵게 다진다. 양파는 굵게다지고 마늘은 슬라이스한다. <br>3. 냄비에 버터 2/1큰술 넣고 올리브유2/1큰술도 넣고  마늘, 양파,버섯을 넣고 노릇하게 볶는다.<br>4. 화이트 와인 2큰술 넣고  쌀을 넣고 볶다가 치킨스톡을 나눠가며 쌀알을 알단테로 끓여낸다.<br>5. 쌀알이 살짝 걸쭉해지면 생크림 2/1컵,파마산치즈가루 2큰술, 후추를 넣고 농도 조절하고 마지막 송로버섯오일 넣는다. <br>6. 슬라이스한 버섯은 따로 볶아둔다.<br>7. 리조또를 그릇에 담고 슬라이스버섯으로 장식하고 치즈가루와 파슬리찹을 뿌린다. "
표고버섯 밑둥조림,,표고버섯 밑둥 20개 물 1컵 집간장 6숟가락 보리수발효액6숟가락 올리고당 (쌀엿) 3숟가락 통깨 1t,"1. 표고버섯에서 밑둥을 분리하여 표고버섯 밑둥을 정리하고 물에 헹군다.<br>2. 손으로 찢어 팬에 들기름을 부어 찢은 표고버섯 밑둥을 달달 볶아 물 1컵을 부어 끓인다.<br>3. 집간장 6숟가락, 보리수발효액 6숟가락, 쌀엿올리고당 3숟가락을 넣고 졸인다. 팬 뚜껑 열고 조려주면 되고요. <br>4. 발효액은 어떤 발효액을 사용해도 되고 집간장, 발효액대신에 진간장을 넣어도 된다. <br>5. 마무리로 통깨를 뿌려요."
표고버섯탕,"표고버섯은 혈압을 떨어뜨리는 작용을 하기 때문에 고혈압 환자에게 효과가 있으며 ,뜨거운 물에 우려 먹으면 항암효과를 볼수가 있고, 콜레스테롤 저하, 동맥경화증등 각종 성인병에 좋으며. 햇빛에 말린 표고버섯은 뼈의 형성과 솔다공증에 좋은 비타민 D가 풍부해지고 효능도 좋다","표고버섯 18개, 미지근한 물 2컵반, 찹쌀가루 7~8숟가락, 간장 3숟가락, 다진마늘 2분의1숟가락, 다진마늘 2분의 1숟가락, 들기름 or참기름 3숟가락, 설탕2분의1숟가락 ,후추가루 약간씩","1. 마른 표고버섯은 물에 헹구어 먼지를 털어내고, 미지근한 물에 담구어 불린다. 버섯이 부드러워지면 표고버섯을 불린물을 따로 담아두고 기둥은 떼어내고 버섯은 깍뚝썰기를 한다. (46토막) 버섯을 불릴때 설탕을 넣은 미지근한물에 불리면 더 빨리 불릴수 있지만, 표고불린물을 탕의 국물로 이용을하니 소량의 설탕을 넣고, 물에 설탕을 넣었을때는 버섯양념을 할때 설탕의 양을 줄이세요.<br>2. 버섯에 양념을 하여 볶는다. <br>3. 따로 담아 두었던 버섯물에 찹살가루를 풀어서 준비한뒤에 볶은 표고버섯에 넣어 저어가며 끓여준다.<br>4. 표고찹쌀탕이 끓으면 걸쭉해지면 간을 보아 싱거우면 국간장으로 간을 하고 불을 끈다.<br>5. 정말 간단한 약선요리, 혈압을 내려주는 표고버섯탕이랍니다."
표고버섯잡채,"비교적 가정에서 반찬으로 먹는 버섯 중에서 가장 가격이 비싸고, 코끝을 톡 쏘는 강한 향을 가진 버섯인 표고버섯. 버섯에 채소들을 채 썰어 넣고 간단하게 잡채를 만들어 보았지요. 너무나도 담백하고 순수한 맛이라고 할까요? 표고버섯의 쫄깃함과 피망의 독특한 향의 환상적인 궁합을 맛보세요.","표고버섯 7개, 청피망 작은것 1개, 홍피망 작은것 1개, 양파 중간것 1/2개, 마늘 3쪽, 올리브오일 적당량, 통깨 0.5스푼, 검은깨 약간 <br> [양념] 간장 2스푼, 맛술 2스푼, 생강즙 약간, 후춧가루 0.2스푼, 물 1/4컵, 참기름 1스푼","1. 표고버섯, 청피망, 홍피망, 양파는 가늘게 채썰고, 마늘은 편으로 썰어 준비합니다. <br>2. 분량의 양념장을 만들어 둡니다. <br>3. 달군 팬에 올리브오일이나 포도씨오일을 두르고 편으로 썬 마늘을 넣고 향이 나도록 볶으세요. 편으로 썬 마늘 대신 다진 마늘을 타지 않게 볶아줘도 좋아요. <br>4. 채썬 버섯과 피망, 양파를 넣고 볶다가 재료들이 살짝 숨이 죽으면, 미리 만들어 놓은 양념장을 부어 달달 볶다가 다 볶아지면 마지막으로 통깨와 검은깨를 솔솔 뿌려내면 끝. <br>5. 마늘을 볶아서 기름에 향을 내주는 과정을 제외하고 버섯과 채소들을 볶고 양념장을 섞는 과정까지 재빨리 후다닥 만들어 내면 채소의 아삭함이 더욱 살아서 맛있어요."
우유보리죽 ,"장을 깨끗이 해주는 우유보리죽, 죽을 쑬 때 물 대신 우유를 넣고 죽을 끓이면 우유와 보리가 참 잘 어울려 매우 구수한 죽이 된답니다. ","우유 3컵, 보리쌀 1/2컵, 찹쌀 2숟가락, 잣(생략 가능) 1숟가락, 물 2컵, 소금(약간)",1. 보리쌀은 깨끗이 씻어 2시간 이상 불린 뒤 믹서에 물 1컵과 함께 넣어 간다.<br> 2. 찹쌀도 같은 방법으로 불려 1에 잣과 함께 넣어 다시 한번 간다.<br>3. 냄비에 2와 물 1컵을 넣고 투명해지도록 저으면서 끓인다.<br>4. 죽이 퍼지면 약한 불로 줄이고 우유를 넣어 잘 저으면서 5분 정도 끓이다가 먹기 직전에 소금으로 간을 맞춘다
보리쌈장,,"삶은 보리 1/4컵, 식용유 1큰술, 물녹말(약간)<br>양념 (청국장 2큰술, 된장 1큰술, 고춧가루 1/2큰술, 다진 파 1큰술, 다진 마늘 1/2큰술, 깨소금 1큰술, 참기름 1큰술, 물 1/4컵)",1. 보리는 냄비에 물을 넣고 삶아 물기를 뺀다.<br>2. 분량의 양념을 만든다.<br>3. 냄비에 식용유를 두르고 보리를 볶다가 2의 양념을 넣어 조리듯 끓인다.<br>4. 물녹말을 넣어 농도를 맞춘다.
감자보리밥 ,어르신에게 좋은 음식,보리쌀1+1/2컵 쌀 1/2컵 감자(중사이즈) 3개 물 2컵,"1. 압맥(보리를 납작하게 만든 것)를 구입해서 백미와 살짝 섞어서 보리밥을 해 주었습니다. 요즘 보리는 오래 불리지 않아도 밥이 잘 되는 것 같습니다. 대략 30분 정도 불렸습니다. <br>2. 감자는 껍질을 벗긴 후 큼직하게 썬 후 찬물에 헹궈 주세요. <br>3. 밥솥에 보리쌀, 쌀, 감자를 넣고 밥물을 넣어 주세요. <br>4. 진짜 맛있는 감자 보리밥이 완성이 되었습니다."
황기감자탕백숙,복날에 먹으면 체질을 보강시켜주는 황기삼계탕,"닭 1kg 2마리, 황기 4뿌리, 찹쌀 1컵, 대추 7~8개, 밤 7~8개, 물 3000ml<br>
[양념] 천일염 1큰술, 맛술 2큰술","1. 황기를 냄비에 넣고, 물3000 ml를 붓고 30분정도 끓여주세요. <br>2. 찹쌀은 씻어서 물에 담가 불리고 감자는 껍질을 제거해주세요. <br>3. 닭은 내장을 깨끗히 씻고 꽁지와 날개끝을 잘라낸후 뱃속에 불린찹쌀 3큰술, 대추 2개, 밤1개를 넣고 다리 뒷쪽에 칼집을 넣고, 한쪽 다리를 넣어 꼬아 주세요. <br>4. 황기를 끓인물에 닭과 남은 감자, 대추. 밤,맛술,소금1/2큰술을 넣고,닭이 익을때 까지 50분 정도 끓여주세요. <br>5. 맨 마지막에 간을 보시고 소금 1/2큰술을 추가로 넣어 주세요."
복분자스무디,제철맞은 햇복분자로 만드는 복분자스무디,냉동 햇복분자3컵 물 1/3컵 꿀 기호에따라,1. 냉동상태로 배송된 복분자로 복분자 스무디 만들어 볼게요. 따로 얼음넣지 않아도 되네요.<br>2. 믹서기 돌려 갈아 줍니다.<br>3. 살짝 살얼음낀 복분자 스무디 시원하게 마셔요.
복분자청,"비싼 복분자를 그냥 먹어도 좋지만 하루,이틀 지나면 금방 물러요. 복분자청을 만들어서 여름에 당 없는 탄산수에 섞어 마시면 갈증도 해소하고 몸의 기운도 펄펄나게 한다고 합니다",복분자 500g 설탕 500g,"1. 복분자는 체반에 넣고 흐르는 물에 재빨리 씻어요. 절대 물에 담궈두지 마셔요. (수용성) 체반에 넣고 물기를 제거해요.<br>2. 열탕소독 된 유리병을 준비해요. <br>3. 설탕은 복분자랑 거의 동량. 설탕을 먼저 바닥에 깔고 복분자,설탕을 번갈아 겹겹히 넣어요. 비닐장갑을 끼고 꾹꾹 눌러주셔요. 너무 많은 양을 가득 채우지 말고 70%80%만 차게 넣고 맨위는 꼭 설탕으로 마무리를 해야 해요. <br>4. 병 주위에 설탕을 닦고 비닐랩을 한 번 씌워서 뚜껑을 닫아요. 즙이 벌써 나와서 설탕이 거의 녹아 가네요. <br>5.실온에서 2-3일 두면서 설탕이 잘 녹게 마른 나무 수저로 저어 주셔요.<br>6. 냉장고에 10일 두어요.  냉장고에서 10일후에 체에 내리거나..믹서기로 곱게 갈아서 체에 내리고 액기스만 따로 유리병에 보관해요. <br>7. 당 없는 탄산수,얼음,복분자액기를 넣고 잘 섞어주면 복분자 소다수가 완성"
복분자잼,복분자과육을 통째로 만든 복분자잼,"복분자 1kg, 설탕 1kg, 레몬즙 ",1. 복분자는 흐르는 물에 여러번 씻어 건져서 물기를 빼주세요. <br>2. 복분자쨈을 담을 유리병을 끓는 물에 담그거나 찜기위에 올려 열탕 소독을 해주세요. <br>3. 복분자와 설탕을 1:1로 섞어준 후 손으로 복분자를 으깨주세요. <br>4. 냄비에 으깬 복분자를 넣고 계속 저으면서 끓여주세요. <br>5. 복분자액이 1/2으로 줄어드면 레몬즙을 넣어준 후 1분간 끓여주면 완성이예요.  소독한 유리병에 복분자쨈을 넣어주세요.
복숭아푸딩,,복숭아 1개 물 2컵 설탕 1컵 판젤라틴 4장 레몬즙 1큰술,1. 복숭아는 깎아서 작게 깍뚝썰기 해주세요. <br>2. 물2컵에 설탕1컵 섞어요. 단게 싫으시면 설탕량은 줄이셔도 괜찮아요. <br>3. 냄비에 설탕물과 복숭아를 넣고 끓여요. <br>4. 판젤라틴4장을 찬물에 불려요. <br>5. 불을 끄고 판젤라틴을 넣고 레몬즙1큰술 넣고 휘저어요. <br>6. 한김 식히고 용기에 담아 냉장고에서 굳혀주세요.  굳어진 푸딩.맛나게 드세요
복숭아청,여름대표과일중에 한가지인 복숭아. 하지만 잘못사면 정말 맛이없지요. 그럴땐 간단하게 복숭아청을 만들어보세요,복숭아 1kg 흰설탕 1.5kg 레몬즙 3~4큰술,1. 복숭아껍질을 제거하고 중간에 씨도 제거해서 1kg를 준비해주세요. 복숭아가 씹히는 식감이 좋으신분들은 곱게 칼로 다져주시고 부드러운게 좋으신분들은 믹서기/다지기에 곱게 갈아주세요. <br>2. 다져준 복숭아에 흰설탕 1.5kg와 레몬즙 34큰술을 넣고 잘 섞어주세요. 새콤한맛이 싫으시거나 복숭아 새콤하다면 레몬즙은 빼도 돼요. <br>3. 흰설탕이 녹을때까지 섞어주시고 위에 거품을 살살 걷어내주세요. <br>4. 준비된 용기에 담아서 실온에서 하루 보관후 물기없는 나무주걱이나 젓가락으로 밑바닥까지 한번 섞어주신후 냉장보관하세요.<br>5. 일주일 냉장고에서 숙성을 시켜주신후 드시면 돼요. 
복숭아깍두기,간단하게 무쳐 바로 먹는 과일깍두기,"천도복숭아(대) 2개, 실파 10대 <br>[양념] 고춧가루 2+1/2큰술, 맑은 멸치액젓 2+1/2큰술, 매실액 2큰술, 잘게 다진마늘 1큰술","1. 실파는 다듬어 흐르는 물에 씻어 물기를 빼주세요. <br>2. 분량의 재료대로 양념을 만들어두세요. <br>3. 천도복숭아는 깍둑 썰고, 실파는 깍둑 썬 천도복숭아 길이보다 조금 길게 썰어주세요. <br>4. 깍둑 썰어둔 천도복숭아를 볼에 담고, 양념을 넣고 버무려주세요. <br>5. 실파를 넣고 무심한 듯 설렁설렁 섞어주세요."
복숭아 타르트,"쿠키로 시트를, 층층이 커스터드크림과 복수아잼을 넣었어요. 토핑도 복숭아를 올렸답니다. 새콤달콤 부드러운 노오븐베이킹 떠먹는 복숭아 타르트에요.","[타르트지 재료] 통밀 쿠키80g, 버터 40g <br>[커스터드크림 재료] 계란노른자 1개, 설탕 20g, 옥수수전분 10g, 우유 90g, 바닐라에센스 3~4방울 <br>[복숭아잼 재료] 천도복숭아 1개, 설탕 10g, 아이스티음료20g <br>[토핑 재료] 천도복숭아 1개, 올리브유 약간, 설탕 1큰술, 통밀쿠키","1. 타르트지 만들기 - 전자레인지에 버터 녹이기(20-25초) <br>2. 지퍼백에 통밀 쿠키 넣어 가루가 되도록 부수기<br>3. 전자레인지에 녹인 버터 넣어 골고로 섞기<br>4. 준비한 용기에 일정한 두께로 펼쳐 서로 붙도록 숟가락으로 눌러주기<br>5. 냉장고에 넣어 굳히기.<br>6. 커스터드 크림 만들기 - 전자레인지에 우유 따뜻하게 데우기(20-25초정도)<br>7. 노른자 풀어주고 잘 풀은 노른자에 설탕, 전분가루 넣어 섞기<br>8. 전자레인지에 데운 우유 넣어 섞기<br>9. 냄비에 채를 올린 후 섞어준 우유 덩어리 걸러주기<br>10. 약불에 바닥에 달라붙지 않게 저어주기<br>11. 바닐라 에센스 넣고 걸쭉한 죽 상태가 되면 완성. 그릇에 옮겨 식힌다. <br>12. 복숭아토핑, 잼 만들기 - 잼용을 잘게 썰기, 토핑용은 반 잘라 슬라이스 썰기(두께2-3mm,웨지감자모양)<br>13. 복숭아, 설탕, 아이스티 음료 넣어 수분 없이 졸여주면 끝.  센 불에서 볶다가 바글바글 끓으면 불을 줄여서 졸여주세요.<br>14. 토핑만들기 - 기름 두른 팬에 복숭아, 설탕 솔솔 뿌려 갈색으로 굽기. <br>15. 타르트지 위에 커스터드 크림 펴 바르고, 잼 펴바르고, 통밀쿠키 손으로부수기, 구운 토핑 복숭아 테두리부터 돌리면서 올려주면 떠먹는 복숭아타르트 완성."
복숭아잼,달콤한 향에 기분이 좋아지는 복숭아잼,"복숭아과육2.1kg 
[양념]
비정제황설탕 1.2kg
레몬즙 ","1. 복숭아는 여기저기 상처가 난곳들을 도려내주고, 깨끗이 씻어 놓았어요. <br>2. 복숭아는 껍질을 깎고 과육만 준비해서 잘게 잘라 냄비에 담고, 여기에 레몬즙을 넣어서 센불에서 78분정도 끓여주세요. 센불에 올리면 금새 탈것 같지만, 복숭아에서 수분이 계속나와 그럴 일은 없어요. <br>3. 설탕을 넣어 섞어주고, 중약불로 줄여서 끓여줘요. 중간 중간 저어주면서 거품도 걷어내 주면서, 처음 분량의 반절 정도로 줄어들때까지 농도를 보면서 끓여주면 되요. <br>4. 한시간 조금 넘게 졸여주면 복숭아가 이렇게 풀어지기도 하고 몰랑해져요. 주걱으로 잼을 들어봐서 무겁게 뚝뚝 떨어지는 정도까지 졸여주었어요. <br>5. 잼을 담을 유리병은 미리 열탕소독해 두세요. 끓는 물에 소독해서 물기를 쪽 빼고, 뒤집지 말고 세워두면 금새 말라요."
복숭아 스무디,다이어트 음료로도 좋고 그냥 출출할때 만들어 먹기 좋은 복숭아 스무디,"복숭아 1개, 플레인 요거트 100ml, 우유 1컵, 얼음 1컵 
[양념] 꿀 1~2큰술","1. 먼저 복숭아는 깨끗이 씻어 껍질째 썰어줍니다. 복숭아가 잘 익어서 물컹하니 씨와 분리가 잘 되더라구요. <br>2. 믹서기에 복숭아를 넣고 플레인 요거트(1통=100ml), 우유(1컵), 얼음(1컵), 꿀(12)을 넣어. 곱게 갈아주면 됩니다.<br>3. 꿀은 12큰술정도 넣으면 될거에요. 다 만들어서 먹고 좀 싱겁다 하면 꿀을 더 넣구요. <br>4. 컵에 따라서 마시면 됩니다."
부추무침,삼겹살이나 간장양념 살짝한 고기와 함께 먹으면 새콤달콤 맛있는 부추양파 무침 ,"부추 1줌, 양파 1/2개 <br>[양념] 진간장 3Ts, 고춧가루 2Ts, 다진 마늘 1Ts, 올리고당 1Ts, 식초 1Ts, 통깨 1Ts, 참기름 약간, 얼음물 생략가능",1. 부추 한줌을 깨끗하게 씻어서 5cm 간격으로 잘라주세요. 양파 반개는 최대한 얇게 썰어주세요. 잘라 놓은 양파를 얼음물에 담궈 놓으면 아린맛은 사라지고 단맛은 좋아진답니다. 손질 된 부추를 볼에 담아주세요 얼음물에 담궈 놓은 양파는 물기를 빼고 볼에 함께 담아주세요.<br>2. 분량의 양념을 넣고 양념장을 만들어 주세요.<br>3. 양념을 조금씩 넣어가면서 비벼주시면 되는데요. 부추는 애기 다루듯이 살살 비벼야지 풋내가 나지 않아요. <br>4. 마지막에 통깨를 조금 더 뿌려서 더 먹음직스럽게 만들면 더 좋겠죠.
부추나물,"부추는 비타민 A, C가 풍부하다. 그리고 활성산소 해독 작용과 혈액순환 원활하게 도와준다. 부추에 들어 있는 황화알린은 돼지고기에 많이 들어 있는 비타민 B1의 흡수를 촉진하여 피로 회복 및 체력증강에 효과적이다.이러한 부추로 정말 간단한 부추 요리를 만들어 보세요.","부추 200g<br> [양념] 소금 1꼬집, 액젓 1/2Ts, 참기름 1Ts","1. 손질한 부추는 45 등분으로 자른다. <br>2. 끓는 물에 소금을 넣고 부추를 살짝 데쳐준다. <br>3. 데친 부추는 찬물에 씻어 물기를 제거한다. <br>4. 부추에 액젓, 소금, 참기름을 넣고 무쳐준다."
해물부추전,,"부추 250g, 양파 1/2개, 오징어 1마리, 홍합 100g, 깻잎이나 애호박 생략가능 
[반죽] 부침가루 1+1/2컵, 튀김가루 1+1/2컵, 물 4컵, 전분가루 2T","1. 잘씻은 부추는 엄지손가락 길이정도로 잘라주세요 . 양파는 얇게 채썰어주세요. 깻잎을 몇장 넣어주면 참맛있어요. 또는 집에 있는 야채들을 채썰어 넣어도 좋아요.<br>2. 깐홍합은 물로 살살씻어 키친타올에 올려 물기를 제거해주세요. 또는 새우나 조갯살 넣어도 좋아요. 오징어는 가늘게 채썰어 끓는물에 살짝 데쳐서 준비해주세요. 그래야 오징어의 수분이 빠져서 바삭한 부침개를 만들수 있어요. <br>3. 부침가루, 튀김가루를 섞을땐 꼭 차가운물로 해야 더욱 바삭바삭해요. 이때 전분가루를 소량 넣으면 더 바삭거려요. <br>4. 모두 섞어주세요. 중불에 기름을 넉넉히 두르고 얇게 올려주세요. <br>5. 다올리고나서 가운데를 젓가락으로 빙글빙글 뚫어주세요. 뚫은곳에 식용유를 살짝 더넣어주세요. <br>6. 후라이팬을 살짝 기울였을때 부침개가 잘움직이면 뒤집어줄 타이밍. 뒤집어준후 테두리부분에 살짝 기름을 더둘러주세요."
부추빵 ,"오븐에 구운 고로케 스타일로 부추빵을 만들어봤어요. 부추소 자체에 마요네즈, 머스타드가 들어가기때문에 튀긴고로케로 만들면 자칫 느끼할 수 있겠지만 담백하게 오븐에 구워냈기 때문에 완벽 그 자체랍니다.","[반죽] ?강력분 밀가루 350g, 설탕 45g, 소금 4g, 인스턴트드라이이스트 7g, 버터 35g, 탈지분유 7g, 물 150g <br>[부추소] ?다진 부추 90g, 다진햄 120g, 계란 3개, 마요네즈 80g, 머스타드 10g, 소금 2g, 설탕 7g, 후추 1g <br>[토핑] 계란물(이나 우유물) 약간, 빵가루 35g, 파슬리가루 톡톡","1. 믹싱보울에 강력분, 탈지분유(생략가능)를 담고 이스트, 설탕, 소금이 서로 닿지않게 넣고 주걱으로 휘휘 섞어줍니다. 
계란, 버터, 물 넣고 반죽해주세요. <br>2. 손으로 반죽을 매끈하게 마무리해준 후 깨끗한 볼에 옮겨 담습니다. <br>3. 따뜻한 곳에서 부피가 22.5배가 될 때까지 1차발효시켜주세요. (약 1시간30분) <br>4. 1차발효가 될 때까지 부추소를 준비합니다. 먼저, 계란을 삶아주세요. <br>5. 기름을 약간 두른 팬에 다진 햄과 다진 부추를 넣고 2-3분간만 볶아주세요.<br>6. 삶아진 계란을 잘 으깨줍니다. 으깬 계란에 볶아둔 햄, 부추를 넣고 마요네즈, 머스타드, 소금, 설탕, 후추로 양념해주세요. <br>7. 1차 발효 완료. 반죽을 10개로 분할하여 둥글리기해주세요. 표면이 마르지않게 잘 덮어주신 뒤 15분간 휴지합니다.  <br>8. 반죽을 성형해주세요. 먼저 반죽을 납작하게 눌러주세요. <br>9. 스푼을 이용해서 부추소를 넣어줍니다.  끝을 잘 오므려서 꼼꼼하게 꼬집어서 마무리해줍니다. 꼬집어서 마무리 한 부분이 바닥으로 가게 돌려주고 납작하게 눌러서 팬닝합니다. <br>10. 따뜻한 곳에서 약 40분정도 부피가 1.5배-2배가 될 때까지 2차 발효해주세요. 2차발효가 완료되면 오븐을 190도로 예열합니다.<br>11. 2차 발효가 끝난 반죽에 계란물이나 우유물을 바른 후 빵가루를 뿌려줍니다. <br>12. 190도에서 12분간 구워주면 완성입니다."
